cod_cursp;nombre;id_categoria;n_horas;fecha;docente;contexto;observaciones;condicion
ENCAP1-SG-ADMLES-2;ADMINISTRACIÓN DE PREDIOS ESTATALES;1;60 HORAS;Del 27 de diciembre del  2021 al 6 de enero del año 2022;DOCENTE: LIC. JEFFERSON OLIVERA;Organizado por la Escuela Nacional de Capacitación y Actualización Profesional.;;1
ENCAP2-SG-ADMLES-3;ADMINISTRACIÓN Y EJECUCIÓN DE CONTRATOS DE OBRAS VIALES;2;120 HORAS;Del 27 de diciembre del  2021 al 6 de enero del año 2022;DOCENTE: LIC. JEFFERSON OLIVERA;Organizado por la Escuela Nacional de Capacitación y Actualización Profesional.;;1
